ulasan_bersih,sentiment_score,sentiment_category,predicted_rating,panjang_ulasan
ubtuk developer tolong aplikasi baik langgan laku internet stabil cepat lancar youtube tapi streaming film aplikasi buffering rating bintang udah komplain lohh udah iya ga benah tolong baik apkikasi,-14,Negatif,1,29
resolusi parah tolong genre sport sisa aman  moga kritik saran customer respon cepat,-16,Negatif,1,13
mantap,5,Positif,5,1
lucu abis update video prabayar,-4,Negatif,2,5
mantap film lokal indonesia tambah film lengkap ,5,Positif,5,7
udah beli paket simpati langgan video primere nya udah gak nonton disney hotstar simpati kuota nontonnya gak kepake,1,Positif,4,18
,0,Netral,3,1
bgus bgt,0,Netral,3,2
langgan byu nggak,-1,Negatif,2,3
oke,2,Positif,4,1
overall udh bagus fiturfitur sedia pada kesal tonton film series film tsb blank gelap mohon baik ulang kali ganggu,-25,Negatif,1,19
putar bayar media sedia perangkap silah ulang perangkat coba pl tolong,-1,Negatif,2,11
disney ampas gue streaming ngelag mulu platform lancar aja netflix youtube ga bufeing cuks disney doang bufring asyuu,-6,Negatif,1,18
sy suka aplikasi sayang susah bayar bayar alfamart minimarket indomaret dana bagus,-17,Negatif,1,12
beli paket internet telkomsel ribu udah langgan suruh bayar langgan,0,Netral,3,10
download krna gratis by u nonton series suka the walking dead,3,Positif,4,11
tambahin dana,4,Positif,4,2
yaa ganggu ga buka,-7,Negatif,1,4
tunggu update serial tv nya fear walking dead serigala yg min,-2,Negatif,2,11
nanyak beli paket internet telkomsel nya gratis langgan disney bln ya disneynya,11,Positif,5,12
bayar bulan emoney,-4,Negatif,2,3
asu,0,Netral,3,1
gak tau,-4,Negatif,2,2
dah bayar nontonnya,-6,Negatif,1,3
turun telat mengupdate film baru the walking dead season episode kemarin rilis aplikasi bayar kalah aplikasi belah ilegal lk film lk film ilegal aplikasi nya utama puas tonton nya update film film baru nya cepat,-33,Negatif,1,35
bagus ,-4,Negatif,2,1
dah pas enak enak nonton error sinyal udah bagus benerin donkkk,-17,Negatif,1,11
mantap,5,Positif,5,1
pushrank dapet tim gajelas,-2,Negatif,2,4
oke,2,Positif,4,1
guna fitur download udah download play njing emosi gw,-3,Negatif,2,9
update the owl house s s sampek eps,0,Netral,3,8
langgan putar film wifi lancar,0,Netral,3,5
bagus ,-4,Negatif,2,1
bagus,-4,Negatif,2,1
otp,0,Netral,3,1
keren,0,Netral,3,1
min gabisa masuk apk nya ya tulis somenthing went wrong tolong baik nonton,-2,Negatif,2,13
aplikasi nonton film terringan sinyal forma ringan beli kuota telkomsel dapet langgan  de best dyeh,-6,Negatif,1,15
udahh baguss tpii resolusi tingkat lagiii,4,Positif,4,6
gak suka aplikasi,-5,Negatif,1,3
bagus,-4,Negatif,2,1
gw udh beli paket telkomsel yg include hotstar ny tpi suruh langgan jan stress lu,-4,Negatif,2,15
nggak lengkap,-6,Negatif,1,2
film indonesia ngeri malam,-5,Negatif,1,4
lumayan,-2,Negatif,2,1
ga lengkappp engga movie animee iklan anime loh asli gada yaampun kecewa,2,Positif,4,12
film horrornya lengkapin seruu,0,Netral,3,4
mahal gak mahal,2,Positif,4,3
video patah patah jaring bagus,-9,Negatif,1,5
ndak bayar,-6,Negatif,1,2
paket bulan kartu kredit,3,Positif,4,4
disney kesini jelek film nya upgrade nya langgan yg tahun film nya ga yg,-3,Negatif,2,14
keren,0,Netral,3,1
mohon maaf ko ukur huruf disubtitle hape ukur huruf sistem dihp udah nyari atur nya ngga,-11,Negatif,1,16
ku bayar langgan susah kali,-4,Negatif,2,5
gak jalan movienya slalu salah pl udah restart logout login uninstall trus instal ulang benerin donk,-4,Negatif,2,16
aplikasi bagus gilir beli telkomsel tulis berlangananlenyap uang gitu doang,-12,Negatif,1,10
tolong kasih opsi audio bahasa indonesia film spiderman film udah bagusbagus film hapus film titanic avatar,-10,Negatif,1,16
udah langgan tetep kuota,0,Netral,3,4
mantap keren,5,Positif,5,2
halo beli langgan disney seklian dipket internet telkomsel hubung ya sudh masuk nomor yg sma,-2,Negatif,2,15
beli paket kuota langgan disney hotstar telkomsel nonton thor love and thunder suruh beli paket langgan tolong baik nomor langgan lho,-2,Negatif,2,21
bekerjasama paket bulan internet telkomsel maaf hapus aplikasi,-7,Negatif,1,8
auth ur is suck kode otp,-3,Negatif,2,6
aplikasi bagus film ramerame terima kasih,-7,Negatif,1,6
heppy stiap kali bli data actif paket nnton disneyhotstar happy tpi blm tahun gratis bln nntonnya patah telan bulan jujur kecewa mf app suda hapus,-4,Negatif,2,25
yg pake no telkomsel udah ga nonton langgan,2,Positif,4,8
film gak,0,Netral,3,2
bagus,-4,Negatif,2,1
mantap rua film,1,Positif,4,3
habis update suruh bayar pas nonton kalo beli kuota disney hotstar udah gratis pke telkomsel dah uninstal aja,-8,Negatif,1,18
bagus,-4,Negatif,2,1
oke,2,Positif,4,1
kualitas udah udah kaya rendah tolong baik,-6,Negatif,1,7
mantap,5,Positif,5,1
udh beli paket telkomsel plus langgan disney ko mash bayar lg,2,Positif,4,11
arif muharrom,4,Positif,4,2
aplikasi sok elite login sulit,1,Positif,4,5
jual sepatu brodo cek blackmenthol tokopedia,0,Netral,3,6
disney hotstar aplikasi sulit berbelitbelit,-4,Negatif,2,5
otp nya ga masuk,-3,Negatif,2,4
lag teross,0,Netral,3,2
gimana sii setel apanyaa dah ge download ken nonton cars isi nya india gimana gebleeg kalih,-10,Negatif,1,16
bodoh,0,Netral,3,1
buruk tdk bayar,-8,Negatif,1,3
force closed aneh,-7,Negatif,1,3
seringkali kecewa senang,-4,Negatif,2,3
dah g dapet free langgan paket telkomnyet wkwkwk,11,Positif,5,8
bagus,-4,Negatif,2,1
the owl house update woe koks nge stuck eps s sih upload nya tanggal april eyyyyyyyy,-4,Negatif,2,16
paket premium nya ga gabung telkomsl dahh asa paket gabung nyaa,-5,Negatif,1,11
ok bgt,4,Positif,4,2
haa ga asik lgi ujung ujung suruh bayar jugaa hapus aja lah,-9,Negatif,1,12
kualitas video sesuai ting,7,Positif,5,4
sakit mata subtitle nya kaya gak niat kasih subtitle,-10,Negatif,1,9
paket kuota telkomsel gw gak langgan disney bintang,4,Positif,4,8
bayar gak seru,-8,Negatif,1,3
skrg msti langgan sblm upgrade g skrg msti langgan saran upgrade download mending hapus aja,-4,Negatif,2,15
moga untung,0,Netral,3,2
,0,Netral,3,1
tolong fitur cepat putar vidio ya youtube baik ngebug laptop nya suka ngebug sinyal aman memori terima kasih,-2,Negatif,2,18
saran film ivanna plissss,-3,Negatif,2,4
pilih kualitas video eneg setting high quality berat berkalikali update kirain bener pas niat aplikasi ga bayar salah masuk,-10,Negatif,1,19
sung guh,0,Netral,3,2
udah beli paket telkomsel mahal skrg udah pisah langgan disney hotstarnya mending nonton netflix langgan disneyhotstar,0,Netral,3,16
agenda sampah,-4,Negatif,2,2
brlanggananx lwat tlkomsel gilir bka apkx d sru langgan lagi,-1,Negatif,2,10
bagus bayar,-7,Negatif,1,2
udan langgan thngiliran pakai haribesok nya ubah film india,2,Positif,4,9
henti langgan karna tonton apk tagih jalan aneh,-13,Negatif,1,8
keren,0,Netral,3,1
bullhit aplikasi rusak,-8,Negatif,1,3
film nya bagus,-4,Negatif,2,3
mana film titanic tibatiba hilang,-4,Negatif,2,5
hibur,0,Netral,3,1
udah gak gabung tsel yaa langgan ,-3,Negatif,2,6
gak putar film nya,0,Netral,3,4
bgt baru aplikasi kualitas aja ga tingkat,2,Positif,4,7
aplikasi henti stop scrol,-11,Negatif,1,4
injiy,0,Netral,3,1
sedih bgt udah ga paket paket kuota telkomsel,1,Positif,4,8
bagus,-4,Negatif,2,1
tolong disney langgan beli mytelkomsel yg langganankan akun tonton film suruh langgan disney tanggung langgan,-7,Negatif,1,15
guna telkomsel kira hubung istimewaterimakasih disney,-4,Negatif,2,6
klu sdh gratis langgan paket combo sakti telkomsel suruh langgan,10,Positif,5,10
hp lo pda kali yg rusak gw aja tuh nnton tv hp ny aja,-2,Negatif,2,14
kalo post episode the owl house digantungin sattttt,0,Netral,3,8
serial radhakrishna gak ya,4,Positif,4,4
oke,2,Positif,4,1
dear disneysaya instal aplikasi krn promo dng isi pulsa dr telkomfilmnya bagus tp knp skrng tdk ad lg promonya dng telkomsel,-11,Negatif,1,21
pakai aplikasi puas kerja,1,Positif,4,4
senang,-4,Negatif,2,1
ngeselin udah bikin resolusi eh ubah resolusi rendah kek make resolusi otomatis ngeselin,-3,Negatif,2,13
min kasih tambah membership tambah minggu gratis,9,Positif,5,7
coba download kalo bagus bintang kalo jelek bintang,-10,Negatif,1,8
kasih bintang bagus putus nurunin kualitas pas sinyal jelek yg gw saranin film serial tolong banyakin kerja kurang film serial dikit,-15,Negatif,1,21
daftar pake harga murah masuk smarttv ga dg nomor sdh ga telp ato sms dr disney udah ulang kali ga,-5,Negatif,1,20
udah gak gratis langgan dr telkomsel uninstall deh,6,Positif,5,8
langgan bayar tpi alih bayar tahun ,-4,Negatif,2,6
maksud tonton mudah erti sederhana kalimat subtitle indonesia tolong sederhana contoh kau hebat kendara sederhana kau lihai puluh film ratus episode yg tonton tolong ganti subtitle subtitle yg sederhana tau gaya bahasa katakata yg pakai film hayati film,-54,Negatif,1,38
kapitalis nih aplikasi langgan bulan ga bayar maksa tahun udah resolusi burik langgan paksa ga suport ekonomi lemah nih,-14,Negatif,1,19
menyesalkanpadahal beli paket maxtreem bayar biaya langgan aplikasisangat kecewa belit aplikasi,-7,Negatif,1,11
apakh gak gabung telkomsel ko gak paket telkomsel,-1,Negatif,2,8
bagus,-4,Negatif,2,1
langgan udh proses data prcma klok kyk gt hmmm,0,Netral,3,9
nonton walking dead gak muncul list biru polos gak terang apa tolong baik kesini ubah bintang,-14,Negatif,1,16
download bayar pas nnton ehh malam loading gmna sih,-1,Negatif,2,9
kudu langgan kalo gin mending pake apk belah xixixi sory uninstall,-6,Negatif,1,11
please update series anime nya,-3,Negatif,2,5
sekrg byar klw nontonbisanya gak,0,Netral,3,5
free,3,Positif,4,1
sdh bayar berlanggananmelakukan adu jg msh blm tonton jg suruh langgan lg anehhhh,-10,Negatif,1,13
buang kuota ajaudah download video sampe ratus mb video gk tontonpercuma sesal download,-9,Negatif,1,13
udh bagus tonton perangkat,-8,Negatif,1,4
tipu,0,Netral,3,1
langgan pakai pulsa gagal pulsa cukup isi pulsa sesuai lebih harga yg tetap,-11,Negatif,1,13
bagus,-4,Negatif,2,1
sdh langgan gk d,2,Positif,4,4
sedia film disney film indonesia wwe smackdown,2,Positif,4,7
langgan tonton woiii,-2,Negatif,2,3
coba update biar cerah layar biaa atur,-8,Negatif,1,7
keren,0,Netral,3,1
fu,0,Netral,3,1
tolong lab rats season nya update please,-5,Negatif,1,7
gabisa buka langgan kemarenkemaren langgan via data nonton lokal telkomsel,-2,Negatif,2,10
ok teks ,1,Positif,4,2
apk buka coba solek,-8,Negatif,1,4
paket combo sakti telkomsel udh gak dapet langgaanan disney plus,8,Positif,5,10
kecewa banget nontonnya kontrol maksud yutub gk kuasa bintang ,3,Positif,4,9
keren,0,Netral,3,1
ga dowlod apk bayar,-3,Negatif,2,4
loding trus males,-4,Negatif,2,3
bagus,-4,Negatif,2,1
kecewa gak nonton disney beli paket kuota telkomsel yg langgan gratis dng beli paket combo sakti,6,Positif,5,16
diupdate ancur gak play film pake hp ram mb bayang lot main,-5,Negatif,1,12
bayar yg d paksa beli yg q gk,-10,Negatif,1,8
keren,0,Netral,3,1
dear disney nonton disney resolusi nya buruk kadang kesal tonton disney jelek tampil vidionya jaring normal pakai wifi terkadang jelek resolusi coba netflix viu jaring bagus resolusi disney harga kualitas,-1,Negatif,2,30
sorry sorry aktivasi ga sedia mytelkomsel paket rb yg ekonomis hilang aktivasinya yg daftar lu nomor kecewa sih,-4,Negatif,2,18
bagus sih napa dh include ama telkomsel sihh elah,-8,Negatif,1,9
langgan error gak kemarin enak beli kuota telkomsel dapet paket bulan disney hotsar sekarng engga,-7,Negatif,1,15
apk ga film g lengkap film nya kenal nyesel beli apk ga mending netflix dr apk tolol saran ga ush beli mending netflix apk sampah,-34,Negatif,1,25
film bagus hp ku error pl ganggu,-13,Negatif,1,7
udh dapet gratis langgan kuota telkomsel ga gunain sih kuota nya udh langgan disney,6,Positif,5,14
baik ,-1,Negatif,2,1
erti salah tolong baik,-9,Negatif,1,4
,0,Netral,3,1
ngasih saran aja tambahin fitur durasi cepat yg pilih pd tonton bagi apk mana contoh sprti apk belah bs brbgi insta story kn lumayan jg dpt promosi dr org yg sdg tonton moga timbang terima kasih,-26,Negatif,1,36
apk sampah langgan bayar tpi apk nggak tulis langgan suruh langgan pdhl bayar uang habis potong anjir ni apk,-17,Negatif,1,19
streaming pakai telkomsel,0,Netral,3,3
tolong tambahin film lord of the ring yg series,-2,Negatif,2,9
noton ya pas buka tolong perbaikin,2,Positif,4,6
baik,-1,Negatif,2,1
aplikasi ngak langgan ,-2,Negatif,2,3
tolong baik buka filim,-6,Negatif,1,4
muas seta syaa mendownload nya tdk pergi bioskop lgi,2,Positif,4,9
acl haesopt,0,Netral,3,2
aplikasi something went wrong please try again,-7,Negatif,1,7
sampah,-4,Negatif,2,1
udah langgan ga bisabisa error mulu,-4,Negatif,2,6
kalo diupdate ya model ,7,Positif,5,4
langgan tonton film something went wrong please try again ya allah kecewa banget tolong baik buangbuang uang saku nama gin,2,Positif,4,20
udah download mala ga nonton ga download,-5,Negatif,1,7
apl nya lelet banget yaa,1,Positif,4,5
aplikasi favorite sihh pake resolusi rendah aja ga kaya resolusi kaya pake hematt kuota banget nonton kartun series film anime good bangettt,0,Netral,3,22
kak nnton video klik unduh berulangulang,0,Netral,3,6
gak pencet ngelag mulu,-3,Negatif,2,4
langgan nonton film gak puter nonton trailer nonton full movienya gak hadeh,-2,Negatif,2,12
ee bgt error troosss hahahah rugi,-10,Negatif,1,6
nanya gw udah langgan da nonton film satu,0,Netral,3,8
minggu kasih film donk kya d netflix,-1,Negatif,2,7
bagus gk tau login pliss,-8,Negatif,1,5
bagus,-4,Negatif,2,1
kerja bagus,-2,Negatif,2,2
,0,Netral,3,1
aplikasi apk tailasu,-4,Negatif,2,3
aplikasi talu rumit,-9,Negatif,1,3
alam ku bagus biaya langgan nya worth it harga an grafik full hd kurang overall ku bagus mayoritas filmfilm nya bahasa indonesia,-11,Negatif,1,22
indonesia,0,Netral,3,1
halo tolong hadir judul ho just add water mako mermaids early edition nonton tamat please please please,-15,Negatif,1,17
oke,2,Positif,4,1
tolong lengkap pilih warna subtitle,-7,Negatif,1,5
bagus kemarin klau nonton layar hitam tpi udah normal selesai admin nya klau hubung admin nya kirim email lapor nya email bantu admin nya,-14,Negatif,1,24
boi,0,Netral,3,1
buruk sumpah udah langgan gak muncul gambar nya signal stabil gambar muncul bikin rugi langgan aja,-17,Negatif,1,16
aneh gambar hitam suara aja,-11,Negatif,1,5
ga aplikasinnya ti,0,Netral,3,3
vidio terkadang rugi,-2,Negatif,2,3
oke,2,Positif,4,1
tolong udah download film nya buffering tuh gimana cerita ya tolong fix,-4,Negatif,2,12
disney parah banget ampun dah video nya ngelag habis muncul layar hitam gak layar kedip terusudah gak benah,-20,Negatif,1,18
film blank putus,-5,Negatif,1,3
film bayar,-3,Negatif,2,2
maaf ya,1,Positif,4,2
nyesel beli bayar mahal layan engga sesuai,-9,Negatif,1,7
streaming nya black screen,0,Netral,3,4
nonton layar nya gelap ga nonton audio,-4,Negatif,2,7
tdk sesuai,3,Positif,4,2
yg download,0,Netral,3,2
beli pakai gopay bank visa ga fitur qris google play jangkau orang gimana kembang nyusahin orang murah sih k beli batas bayar ga beli uninstall deh aplikasi oh iya baja kn shopee yg bayar pake apa,-24,Negatif,1,36
mahal banget sih,2,Positif,4,3
jijik gak aplikasi kaya gin,-11,Negatif,1,5
ribet,-4,Negatif,2,1
 menjalankanadhkc ,0,Netral,3,1
jelek,-5,Negatif,1,1
kecewa,0,Netral,3,1
login aplikasi bodoh,-4,Negatif,2,3
tolong bug nya baik nonton nggak bisabisa loading plus layar hitam nggak tolong baik ya,-10,Negatif,1,15
langgan ribet bayar nya pake gopay kartu kridit,-5,Negatif,1,8
bagus,-4,Negatif,2,1
acara bagus varias,-4,Negatif,2,3
pantes aja rating jelek gak rekomen banget dah,-9,Negatif,1,8
oke,2,Positif,4,1
batalin langgan aja ngambil gopay gua otomatis sial,-2,Negatif,2,8
bagus tingkat layan kualitas video lotsa film,-1,Negatif,2,7
layar ngeblank layar hitam ga visual subtitle suara aja,-4,Negatif,2,9
kasih bintang pas nonton layar hitam yak internet nya lancar,-4,Negatif,2,10
biasa baca baik salah yg otomatis mesin ga baik,-8,Negatif,1,9
nyesel bngt bayar premium bug gambar hilang,-13,Negatif,1,7
gak nih layar item sih gak muncul video cuman audio aja,-6,Negatif,1,11
kerja bagus ,-2,Negatif,2,2
langgan nonton,2,Positif,4,2
sekrng mahal bgt,1,Positif,4,3
nonton full hitam gambar nya gambar tolong baik,-13,Negatif,1,8
android tv nonton film seri gak otomatis episode manual pake remote bikin repot mending pindah app kalo gitu gak praktis,-4,Negatif,2,20
ngapain dah ngabisin saldo nonton bayar kalo gratis lengkap konyol sdm rendah bodo nonton bayar,-19,Negatif,1,15
mantap,5,Positif,5,1
mantap,5,Positif,5,1
zionis kapitalis tolol maruk mahal bayar langgan kualitas ampas bug,-7,Negatif,1,10
langgan serial high potensial season eh tau loading trus muncul layar hitam suara tau langgan parah,-17,Negatif,1,16
bgus,0,Netral,3,1
error mulu gabisa log in,-6,Negatif,1,5
laku,0,Netral,3,1
oke,2,Positif,4,1
layar hitam suara,-5,Negatif,1,3
ribet bgt masuk apk nya aja bayar,-9,Negatif,1,7
layar hitam loading,-4,Negatif,2,3
kualitas suara stabil kualitas gambar stabil kadang suara nya tonton kualitas rendah full hd,7,Positif,5,14
bintang login sulit tutorial ,0,Netral,3,4
nyesel download gk buka berbayarlangganan block,-12,Negatif,1,6
daftar susah bingung mohon mudah daftar,-12,Negatif,1,6
drama hd bagus langgan murah,-8,Negatif,1,5
jelek download bayar bikin akun susah banget ciuh ciuh ,-10,Negatif,1,9
langgan tp metode bayar ribet sih kartu kredit debit e wallet gopay saran banyak metode bayar e wallet ny,-24,Negatif,1,19
metode bayar,-8,Negatif,1,2
ga tombol edit profil hapus profil,-3,Negatif,2,6
beli premium nonton high potential keluarga karna film suka pas udah beli gada high potential nya gimana sih,-5,Negatif,1,18
apk niat dongk,0,Netral,3,3
aplikasi gin ya sulit,0,Netral,3,4
udah bayar selamat tonton klik gak nonton apa web surah bayar parah,-17,Negatif,1,12
kecewa kali pakai aplikasi langgan buffering wifi lancar data lancar,-9,Negatif,1,10
knp engga langgan lagi,-1,Negatif,2,4
app saksi temu gw pake login pita langgan ubin cs komplain komplain bantu buangbuang plus langgan dasaaaaaarrr dongoooo,1,Positif,4,18
ga ad film indonesia lg ya,4,Positif,4,6
sebal bgt iklan disney hotstar plafon langsung otomatis direct aplikasi ngeklik apa video iklan habis,-4,Negatif,2,15
gimana sih disney udah bayar gak tonton darkor nyacuma muter aja bayardiperbaki gimana sih,-6,Negatif,1,14
gila sih ratting udh bnyk yg kasih ga baik ngebug banget woy udh beli paket tp ilang gambar total,-13,Negatif,1,19
ko bastard movie vein sih,0,Netral,3,5
gak tau,-4,Negatif,2,2
vidionya jalan loading nya parah  data selular wifi aman aman kecewa ,-8,Negatif,1,11
layar hitam,-4,Negatif,2,2
ga yg bsa puter semuanyasyg bgt udh langgan tpi ga bsa dipke,2,Positif,4,12
ui nya ganti,-3,Negatif,2,3
banget parah muat muat ,-4,Negatif,2,4
sinyal bagus loading tolong baik,-7,Negatif,1,5
film nya ga putar loading kouta internet lancar download ga putar video audio tampil hitam,-9,Negatif,1,15
yg ngasih b cari cuan aplikasi pintar,-9,Negatif,1,7
update nya payah bet bosan,0,Netral,3,5
bug bayar premium gopay bilang bayar muas,1,Positif,4,7
butuh,-5,Negatif,1,1
aplikasi putar video layar hitam loading solusi kendala sy,-5,Negatif,1,9
emang ga atur ukur subtitle ya,3,Positif,4,6
pantes ratingnya rendah gw login gabisa jing nomor ganggu udah coba pake nomor temen eh sama,-10,Negatif,1,16
overall pakai lema bagus untung temu aplikasi guna temu kali aplikasi disney layan streaming film puas karenan suka tonton film disney pixar harap koleksi film star anime banyak,-17,Negatif,1,28
layar cuman hitam doang langgan blank hitam suara,-8,Negatif,1,8
gmna sih udah paket premium play film loading doang ngga film udah hapus download,0,Netral,3,14
kacau gak buka,-3,Negatif,2,3
jelek bgt apk nya eek udh grafik nya full hd tambah burik,-7,Negatif,1,12
bamus,0,Netral,3,1
tarik,2,Positif,4,1
bintang puas mulus jalan video flmnya bagus knp putar video lengket dikit mulu video jalan tolong min baik lg,-16,Negatif,1,19
tolong disney gimana nonton nya pas buka gak nonton tolong disney benar lagi,-11,Negatif,1,13
aplikasi manta disney hotstar,-4,Negatif,2,4
ok promo oke mohon banyakkkkk fitur tambah kasih fitur like dislike show gimana orang suka program data bab starring director at veryyyy least butuh disney xd program ga kaya pickle and peanuts ayo disney,0,Netral,3,34
aplikasi gak bagus mending aplikadi sdh langgan gk nonton gak bsa login,-9,Negatif,1,12
updatenya bug jeda pas gak share akun cachenya hilang pas gambar gak layar item suara mutom nunggu,-5,Negatif,1,17
kode otp muncul hari,-6,Negatif,1,4
aplikasi sundala,-4,Negatif,2,2
udah langgan yg full hd tp kualitas jelek pdhl jaring bagus beda bgt sm aplikasi belah harga tp kualitas oke,-2,Negatif,2,20
dongoo gabisa masuk gua,-6,Negatif,1,4
mantap kasih bintang karna merespon solusi ganti email sukses disney ,10,Positif,5,10
ipad,0,Netral,3,1
scam redeem code,0,Netral,3,3
paham apk,0,Netral,3,2
mahal isi film banyak sampah disney kbnyakan film woke marvelnya jarang yg oke ga kyk,-9,Negatif,1,15
diplay normal tengah film blank full hitam doang tambah audio doang yg coba film aja sampah banget,-3,Negatif,2,17
gk cocok,-3,Negatif,2,2
too much buffering loadingnya bgt koneksi play bbrp detik loading ga nonton menit it doesnt make sense,-4,Negatif,2,17
disney hotstar gak beres nih kartu kredit langgan basic premium potong ribu sdh gitu gak nonton aplikasi sdh email disney realisasi yg moga nasib,-4,Negatif,2,24
iklan menggangu,0,Netral,3,2
buka dihpcuma suara nya knpa kesini jelek sih,-9,Negatif,1,8
ni aplikasi kalo nonton gak muncul film layar hitam,-11,Negatif,1,9
bayar langgan via gopay susah ampun worst app,-7,Negatif,1,8
tdk buka aplikasi iklanya,-7,Negatif,1,4
aplikasi bagus,-8,Negatif,1,2
mahal,1,Positif,4,1
pantes ratingnya jelek orang bug nya streaming layar hitam loading udah uninstall aja daftar kendala traffic error nyesel langgan,-22,Negatif,1,19
ganggu,-4,Negatif,2,1
tv dah gak nonton hp ttp gak nonton alas harap henti tonton perangkat  menggangu bgt,-14,Negatif,1,15
hapus aja aplukasi,-2,Negatif,2,3
tools nya jelekk banget ga pilih genre nya khusus film lokal film sih lumayan bikin tarik cuman sayang ga tombol pilih genre bagi film lokal kalo gin mending langgan netflix dah ,-14,Negatif,1,31
aplikasi nya banget rusak muncul gambar loding nya terus internet bagus,-17,Negatif,1,11
tonton demon slayersetelah eps kendala gambar alias blank hitam tolong baik,-17,Negatif,1,11
baik bug layar hitam kayak nonton radio,-8,Negatif,1,7
aplikasi ga jelass login aja ribet ganti email ga rekomendasi,-10,Negatif,1,10
ribeeeeeeeetttttt bgttt byr langgan pake gopay gabisa gabisa buka tv krn gaboleh pakai wifi macem hadeeehhhh,-7,Negatif,1,16
suka bantu oke,-3,Negatif,2,3
halo aplikasi update film hapus ya cari film contoh film animasi droners gak gua cek chrome film tampil bagus,-19,Negatif,1,19
kerja bagus,-2,Negatif,2,2
karet,0,Netral,3,1
tolol,-5,Negatif,1,1
aplikasi hotstar nya ganggu nonton film detik muncul tanda loading pakai data seluler kuota nya nonton film jaman internet susah dikit loading lumayan bayar nya lihat ulas yg alami alami kendala tolong baik ya terima kasih,-33,Negatif,1,36
gaje tonton gajek tv sulit ubah film terkadang halus terkadang sulit terkadang sulit aplikasi,-2,Negatif,2,14
kesel banget gw anj udah langgan mas aja gabisa nonton suruh kelola akun kelola akun udah bayar abis aja gajelas,-7,Negatif,1,20
mantapp lancar banget nontonya,-1,Negatif,2,4
hama,-3,Negatif,2,1
bad pol orang downld apk nyesel parahh,-12,Negatif,1,7
jelek bangett knp sih gk subtitle b inggris nya jdinya bingung lgi ngomongin,-10,Negatif,1,13
z gt tg tg ct mimi hun,0,Netral,3,7
cacat loading teroooos detik langgan,-3,Negatif,2,5
fka,0,Netral,3,1
bayar pakai shopeepay only gopay administration enter bingung pakai kode otp nggak masuk sms kali ,-11,Negatif,1,15
bayar pita beli paket pergi email kemas pulsa,-14,Negatif,1,8
overall mohon androidgoogle tv mohon fitur atur cepat android ios moga terima,-8,Negatif,1,12
semenjak bayar pakai goay susah akses sih disney ribet,-8,Negatif,1,9
bayar mahal bug,-2,Negatif,2,3
apasih ni aplikasi aneh bgt dipakein wifi bilang pake apk buka blokir pvn dll pdhal gk sma gilir pake data seluler lot download gagal mulu nonton film d stop sebentar trus buka wa apk pas nonton loading bgt trus error jaring trus sih apk ber kali kali hadeh mending baik ni kualitas aplikasi lu ambil film yg bagus sayang bgt film bagus aplikasi bobrok,-73,Negatif,1,64
tolong gimana black screen audio jalan film gitu sinyal udah bagus pakai data gitu pake wifi provider centrin indihome mbps aja pake aplikasi belah lancar lancar aja kendala aplikasi zonk,-24,Negatif,1,30
tampil tonton film suka ngeglitch,-8,Negatif,1,5
d d,0,Netral,3,2
oke,2,Positif,4,1
muas aplikasi nya iklan nya bagus n kecewa,-3,Negatif,2,8
panjang gopay saldo jaring bagus aplikasi disney plus gopay update tolong baikin nonton thunderbolt,-1,Negatif,2,14
muak gua black screen kntl khusus nya filmseries produk nya mending nonton bkp,-8,Negatif,1,13
gimana nonton blackscreen trs hape restart ntn rugi udh bayargmn sih parah deh,-10,Negatif,1,13
suruh kirim kode gak kirim kirim,1,Positif,4,6
banyak lagterus kualitas video buram parah pakai kualitas tinggiayo lahini ga upgradekecewa parah,-8,Negatif,1,13
kocak tibatiba black screen anjir suara doang podcast kali,-7,Negatif,1,9
 gj bgt jaring oke banget lancar jaya tp buka disney ga,5,Positif,5,11
udah langgan pas nonton gak gambar gelap tolong baik,-5,Negatif,1,9
video jalan sinyal internet lancar aplikasi crash tolong baik,-13,Negatif,1,9
katalog film ga tarik,2,Positif,4,4
aneh lihat foto jelek jahat banget nontonnya ge coba cepet benerin kaya,-7,Negatif,1,12
nonton minggu kena blackscreen pas panjang prmbayaran otomatis normal tonton minggu tonton blackscreen kali kena blackscreen edit kena blackscreen coba hp nya mati daya detik hidupin udah coba,-15,Negatif,1,28
buka aplikasi tulis mohon cepat bantu baik,-17,Negatif,1,7
oke,2,Positif,4,1
cape bgt black screen,-4,Negatif,2,4
akun nyaa susah ga apk nyaa gampang ga ribet good boy,-5,Negatif,1,11
hp tibatiba black screen restart ngga kompatibel smartphone tolong baik,-4,Negatif,2,10
sulit langgan disney hotstar langsung bantu email layan team disney hotstar bantu apk langgan coba tonton film disney hotstar depan moga kecewa,-6,Negatif,1,22
buka kunci bugusken tolong tolong flim,-4,Negatif,2,6
nonton anggap pakai vpn pdhl gak pakai aneh,-4,Negatif,2,8
ribet anjir bayar gk kode reedemnya,-13,Negatif,1,6
udah fix black screennya normal layar black screen,1,Positif,4,8
kena black screen,-3,Negatif,2,3
film,0,Netral,3,1
kendala cuman film dikit banget,-3,Negatif,2,5
bayar ga masuk akal,-6,Negatif,1,4
bangke n aplikasi udh putus langgan saldo gopay gw aja maling pannnte you,-4,Negatif,2,13
minta kode otp kirim masuk terima gak tau yg bodoh,-9,Negatif,1,10
apk busukngga batal panjang,-3,Negatif,2,4
